movie_id,title,release,vote_average,vote_count
5,Four Rooms,1995,6.5,530
13,Forrest Gump,1994,8.2,7927
18,The Fifth Element,1997,7.3,3885
28,Apocalypse Now,1979,8,2055
33,Unforgiven,1992,7.7,1113
62,2001: A Space Odyssey,1968,7.9,2998
66,Absolute Power,1997,6.4,223
68,Brazil,1985,7.5,861
75,Mars Attacks!,1996,6.1,1509
76,Before Sunrise,1995,7.7,959
78,Blade Runner,1982,7.9,3509
114,Pretty Woman,1990,7,1746
137,Groundhog Day,1993,7.4,2301
149,Akira,1988,7.8,773
152,Star Trek: The Motion Picture,1979,6.2,530
172,Star Trek V: The Final Frontier,1989,5.6,376
184,Jackie Brown,1997,7.3,1514
193,Star Trek: Generations,1994,6.4,452
199,Star Trek: First Contact,1996,7,661
207,Dead Poets Society,1989,8.1,2705
218,The Terminator,1984,7.3,4128
223,Rebecca,1940,7.7,336
239,Some Like It Hot,1959,8,808
251,Ghost,1990,6.9,1339
268,Batman,1989,7,2096
278,The Shawshank Redemption,1994,8.5,8205
279,Amadeus,1984,7.8,1076
280,Terminator 2: Judgment Day,1991,7.7,4185
284,The Apartment,1960,8.1,483
288,High Noon,1952,7.6,334
289,Casablanca,1942,7.9,1422
319,True Romance,1993,7.5,749
329,Jurassic Park,1993,7.6,4856
330,The Lost World: Jurassic Park,1997,6.2,2487
348,Alien,1979,7.9,4470
364,Batman Returns,1992,6.6,1673
389,12 Angry Men,1957,8.2,2078
409,The English Patient,1996,7,542
414,Batman Forever,1995,5.2,1498
415,Batman & Robin,1997,4.2,1418
433,Mary Poppins,1964,7.4,1183
451,Leaving Las Vegas,1995,7.1,360
468,My Own Private Idaho,1991,7.1,212
500,Reservoir Dogs,1992,8,3697
522,Ed Wood,1994,7.3,630
524,Casino,1995,7.8,1307
539,Psycho,1960,8.2,2320
549,Basquiat,1996,6.6,94
562,Die Hard,1988,7.5,3948
563,Starship Troopers,1997,6.7,1560
568,Apollo 13,1995,7.3,1599
576,The Wild Bunch,1969,7.6,259
577,To Die For,1995,6.7,175
578,Jaws,1975,7.5,2542
579,Jaws 2,1978,5.9,406
597,Titanic,1997,7.5,7562
617,Wild Things,1998,6.3,444
621,Grease,1978,7.2,1581
627,Trainspotting,1996,7.8,2655
639,When Harry Met Sally...,1989,7.3,950
664,Twister,1996,6.1,950
680,Pulp Fiction,1994,8.3,8428
686,Contact,1997,7.2,1308
687,Dead Man Walking,1995,7.3,337
694,The Shining,1980,8.1,3757
702,A Streetcar Named Desire,1951,7.6,281
703,Annie Hall,1977,7.8,1010
713,The Piano,1993,7.1,281
714,Tomorrow Never Dies,1997,6,925
744,Top Gun,1986,6.7,1698
754,Face/Off,1997,6.8,1583
755,From Dusk Till Dawn,1996,6.9,1603
756,Fantasia,1940,7.2,808
771,Home Alone,1990,7.1,2414
783,Gandhi,1982,7.4,716
788,Mrs. Doubtfire,1993,7,1591
790,The Fog,1980,6.4,311
792,Platoon,1986,7.5,1205
794,The Omen,1976,7.2,476
819,Sleepers,1996,7.3,715
854,The Mask,1994,6.6,2472
862,Toy Story,1995,7.7,5269
864,Cool Runnings,1993,6.8,491
888,The Flintstones,1994,5,543
954,Mission: Impossible,1996,6.7,2631
1024,Heavenly Creatures,1994,7,294
1408,Cutthroat Island,1995,5.7,136
1573,Die Hard 2,1990,6.6,1896
1578,Raging Bull,1980,7.7,938
