movie_id,title,release
5,Four Rooms,1995
13,Forrest Gump,1994
18,The Fifth Element,1997
28,Apocalypse Now,1979
33,Unforgiven,1992
62,2001: A Space Odyssey,1968
66,Absolute Power,1997
68,Brazil,1985
75,Mars Attacks!,1996
76,Before Sunrise,1995
78,Blade Runner,1982
85,Raiders Of The Lost Ark,1981
89,Indiana Jones And The Last Crusade,1989
105,Back To The Future,1985
114,Pretty Woman,1990
137,Groundhog Day,1993
149,Akira,1988
152,Star Trek: The Motion Picture,1979
168,Star Trek Iv: The Voyage Home,1986
172,Star Trek V: The Final Frontier,1989
173,"20,000 Leagues Under The Sea",1954
174,Star Trek Vi: The Undiscovered Country,1991
184,Jackie Brown,1997
193,Star Trek: Generations,1994
199,Star Trek: First Contact,1996
207,Dead Poets Society,1989
218,The Terminator,1984
223,Rebecca,1940
235,Stand By Me,1986
239,Some Like It Hot,1959
240,The Godfather: Part Ii,1974
251,Ghost,1990
261,Cat On A Hot Tin Roof,1958
268,Batman,1989
278,The Shawshank Redemption,1994
279,Amadeus,1984
280,Terminator 2: Judgment Day,1991
284,The Apartment,1960
288,High Noon,1952
289,Casablanca,1942
306,Beverly Hills Cop Iii,1994
311,Once Upon A Time In America,1984
319,True Romance,1993
329,Jurassic Park,1993
330,The Lost World: Jurassic Park,1997
348,Alien,1979
364,Batman Returns,1992
377,A Nightmare On Elm Street,1984
389,12 Angry Men,1957
408,Snow White And The Seven Dwarfs,1937
409,The English Patient,1996
414,Batman Forever,1995
415,Batman & Robin,1997
424,Schindler'S List,1993
433,Mary Poppins,1964
451,Leaving Las Vegas,1995
468,My Own Private Idaho,1991
500,Reservoir Dogs,1992
510,One Flew Over The Cuckoo'S Nest,1975
522,Ed Wood,1994
524,Casino,1995
539,Psycho,1960
549,Basquiat,1996
562,Die Hard,1988
563,Starship Troopers,1997
568,Apollo 13,1995
576,The Wild Bunch,1969
577,To Die For,1995
578,Jaws,1975
579,Jaws 2,1978
581,Dances With Wolves,1990
595,To Kill A Mockingbird,1962
597,Titanic,1997
601,E.T. The Extra-Terrestrial,1982
607,Men In Black,1997
617,Wild Things,1998
621,Grease,1978
627,Trainspotting,1996
628,Interview With The Vampire,1994
639,When Harry Met Sally...,1989
642,Butch Cassidy And The Sundance Kid,1969
664,Twister,1996
680,Pulp Fiction,1994
686,Contact,1997
687,Dead Man Walking,1995
694,The Shining,1980
702,A Streetcar Named Desire,1951
703,Annie Hall,1977
710,Goldeneye,1995
712,Four Weddings And A Funeral,1994
713,The Piano,1993
714,Tomorrow Never Dies,1997
744,Top Gun,1986
754,Face/Off,1997
755,From Dusk Till Dawn,1996
756,Fantasia,1940
765,Evil Dead Ii,1987
769,Goodfellas,1990
770,Gone With The Wind,1939
771,Home Alone,1990
783,Gandhi,1982
788,Mrs. Doubtfire,1993
790,The Fog,1980
792,Platoon,1986
794,The Omen,1976
795,City Of Angels,1998
807,Se7En,1995
816,Austin Powers: International Man Of Mystery,1997
819,Sleepers,1996
826,The Bridge On The River Kwai,1957
854,The Mask,1994
862,Toy Story,1995
864,Cool Runnings,1993
888,The Flintstones,1994
947,Lawrence Of Arabia,1962
954,Mission: Impossible,1996
978,Seven Years In Tibet,1997
1024,Heavenly Creatures,1994
1103,Escape From New York,1981
1245,The Remains Of The Day,1993
1408,Cutthroat Island,1995
1412,"Sex, Lies, And Videotape",1989
1572,Die Hard: With A Vengeance,1995
1573,Die Hard 2,1990
1578,Raging Bull,1980
1585,It'S A Wonderful Life,1946
1587,What'S Eating Gilbert Grape,1993
1598,Cape Fear,1991
1624,Liar Liar,1997
1637,Speed,1994
1639,Speed 2: Cruise Control,1997
1642,The Net,1995
1645,A Time To Kill,1996
1669,The Hunt For Red October,1990
1701,Con Air,1997
1710,Copycat,1995
1770,Michael Collins,1996
1813,The Devil'S Advocate,1997
1891,The Empire Strikes Back,1980
2074,Flirting With Disaster,1996
2088,Romeo Is Bleeding,1993
2119,Days Of Thunder,1990
2157,Lost In Space,1998
2255,Chasing Amy,1997
2292,Clerks,1994
2300,Space Jam,1996
2320,Executive Decision,1996
2493,The Princess Bride,1987
2636,The Specialist,1994
2639,Deconstructing Harry,1997
2649,The Game,1997
2666,Dark City,1998
2756,The Abyss,1989
2895,The Apostle,1997
2898,As Good As It Gets,1997
2925,The First Wives Club,1996
3034,Young Frankenstein,1974
3049,Ace Ventura: Pet Detective,1994
3078,It Happened One Night,1934
3080,Top Hat,1935
3179,Beavis And Butt-Head Do America,1996
3512,Under Siege 2: Dark Territory,1995
3587,Bogus,1996
3595,Ransom,1996
3597,I Know What You Did Last Summer,1997
4174,Spellbound,1945
4232,Scream,1996
4233,Scream 2,1997
4421,G.I. Jane,1997
4476,Legends Of The Fall,1994
4477,The Devil'S Own,1997
4584,Sense And Sensibility,1995
4824,The Jackal,1997
5503,The Fugitive,1993
5550,Robocop 3,1993
6071,Kiss Of Death,1995
6116,Spice World,1997
6217,Cat People,1982
6520,First Knight,1995
6623,The Peacemaker,1997
6950,Outbreak,1995
7863,Shine,1996
8009,Highlander,1986
8012,Get Shorty,1995
8068,Desperado,1995
8069,Barbarella,1968
8078,Alien: Resurrection,1997
8197,Midnight In The Garden Of Good And Evil,1997
8291,Poetic Justice,1993
8367,Robin Hood: Prince Of Thieves,1991
8413,Event Horizon,1997
8587,The Lion King,1994
8818,Evita,1996
8831,Timecop,1994
8834,Conspiracy Theory,1997
8838,Mercury Rising,1998
8839,Casper,1995
8840,Dragonheart,1996
8850,The Shadow,1994
8854,Steel,1997
8874,My Best Friend'S Wedding,1997
8963,Crimson Tide,1995
8984,Disclosure,1994
8987,The River Wild,1994
9067,Tank Girl,1995
9087,The American President,1995
9089,Home For The Holidays,1995
9095,Mary Reilly,1996
9099,Sgt. Bilko,1996
9100,The Craft,1996
9208,Broken Arrow,1996
9268,Eraser,1996
9271,Virtuosity,1995
9273,Ace Ventura: When Nature Calls,1995
9277,The Sting,1973
9279,Jingle All The Way,1996
9281,Witness,1985
9294,Phenomenon,1996
9303,Bound,1996
9304,Multiplicity,1996
9306,The Island Of Dr. Moreau,1996
9311,Smilla'S Sense Of Snow,1997
9312,Mortal Kombat,1995
9313,The Man In The Iron Mask,1998
9327,The Nutty Professor,1996
9331,Clear And Present Danger,1994
9344,Kids,1995
9348,Species,1995
9350,Cliffhanger,1993
9360,Anaconda,1997
9361,The Last Of The Mohicans,1992
9366,Donnie Brasco,1997
9390,Jerry Maguire,1996
9400,Set It Off,1996
9414,The Man Who Knew Too Little,1997
9416,Money Talks,1997
9427,The Full Monty,1997
9433,The Edge,1997
9434,Grosse Pointe Blank,1997
9437,Kiss The Girls,1997
9440,Primary Colors,1998
9444,Anastasia,1997
9457,Deep Rising,1998
9490,Half Baked,1998
9495,The Crow,1994
9504,Glengarry Glen Ross,1992
9516,Menace Ii Society,1993
9549,The Right Stuff,1983
9566,The Fan,1996
9571,Dazed And Confused,1993
9574,Flubber,1997
9593,Last Action Hero,1993
9598,Babe,1995
9603,Clueless,1995
9607,Super Mario Bros.,1993
9614,Happy Gilmore,1996
9619,Dante'S Peak,1997
9623,The Juror,1996
9625,The Glimmer Man,1996
9665,Glory,1989
9691,Assassins,1995
9716,Everyone Says I Love You,1996
9737,Bad Boys,1995
9746,Kundun,1997
9770,Mad City,1997
9772,Air Force One,1997
9800,Philadelphia,1993
9802,The Rock,1996
9804,Waterworld,1995
9819,Marvin'S Room,1996
9823,Mortal Kombat: Annihilation,1997
9826,The Phantom,1996
9879,Striptease,1996
9894,The Cable Guy,1996
9922,The Postman,1997
10003,The Saint,1997
10061,Escape From L.A.,1996
10153,Sphere,1998
10163,The Lawnmower Man,1992
10215,Sliding Doors,1998
10217,The Sweet Hereafter,1997
10218,Swingers,1996
10280,Thinner,1996
10329,Congo,1995
10331,Night Of The Living Dead,1968
10336,Spawn,1997
10357,Volcano,1997
10395,Wolf,1994
10428,Hackers,1995
10436,The Age Of Innocence,1993
10445,Shadowlands,1993
10478,Tin Cup,1996
10530,Pocahontas,1995
10533,The Scarlet Letter,1995
10534,White Squall,1996
10537,The Doors,1991
10545,The Hunchback Of Notre Dame,1996
10586,The Ghost And The Darkness,1996
10603,George Of The Jungle,1997
10634,Friday,1995
10684,Courage Under Fire,1996
10705,Henry V,1989
10765,Private Benjamin,1980
10802,Showgirls,1995
10806,In & Out,1997
10861,Maximum Risk,1996
10871,Switchback,1997
10890,Stripes,1981
10895,Pinocchio,1940
10987,Halloween: The Curse Of Michael Myers,1995
11015,The Relic,1997
11062,City Hall,1996
11066,Boomerang,1992
11113,My Fair Lady,1964
11202,Patton,1970
11228,Daylight,1996
11229,Freeway,1996
11258,Hard Rain,1998
11298,The Howling,1981
11302,Bananas,1971
11306,Extreme Measures,1996
11359,The Indian In The Cupboard,1995
11363,She'S The One,1996
11382,Bullets Over Broadway,1994
11386,The Crying Game,1992
11395,The Santa Clause,1994
11412,The Long Kiss Goodnight,1996
11517,Money Train,1995
11543,Kingpin,1996
11561,Sleeper,1973
11592,Serial Mom,1994
11667,Street Fighter,1994
11702,The Replacement Killers,1998
11780,Rob Roy,1995
