movie_id,vote_average,vote_count
19995,7.2,11800
285,6.9,4500
206647,6.3,4466
49026,7.6,9106
49529,6.1,2124
559,5.9,3576
38757,7.4,3330
99861,7.3,6767
767,7.4,5293
209112,5.7,7004
1452,5.4,1400
10764,6.1,2965
58,7,5246
57201,5.9,2311
49521,6.5,6359
2454,6.3,1630
24428,7.4,11776
1865,6.4,4948
41154,6.2,4160
122917,7.1,4760
1930,6.5,6586
20662,6.2,1398
57158,7.6,4524
2268,5.8,1303
254,6.6,2337
597,7.5,7562
271110,7.1,7241
44833,5.5,2114
135397,6.5,8662
37724,6.9,7604
558,6.7,4321
68721,6.8,8806
12155,6.4,4645
36668,6.3,3525
62211,7,3528
8373,6,3138
91314,5.8,3095
68728,5.7,3530
102382,6.5,4179
20526,6.3,2841
49013,5.8,2033
44912,5.1,2487
10193,7.6,4597
534,5.9,2463
168259,7.3,4176
72190,6.7,5560
127585,7.5,6032
54138,7.4,4418
81005,5.5,2598
64682,7.3,3769
9543,6.2,2317
68726,6.7,4794
38356,6.1,3299
217,5.7,2495
105864,6.6,1736
62177,6.7,4641
188927,6.6,2568
10681,7.8,6296
5174,6.1,783
14161,5.6,4903
17979,6.6,1095
76757,5.2,2768
258489,5.5,2430
411,6.7,2629
246655,6.4,4721
155,8.2,12002
14160,7.7,6870
15512,6,1423
1726,7.4,8776
44826,7,2141
8487,5.1,1020
1735,5.2,1387
297761,5.9,7458
2698,5.3,1151
137113,7.6,4858
9804,5.9,992
14869,5.6,1962
150540,8,6560
278927,6.7,2892
10138,6.6,6849
58595,5.8,3118
102651,7,4496
119450,7.3,4410
79698,4.8,34
64686,5.9,1326
100402,7.6,5764
10192,6,1959
158852,6.2,2846
177572,7.8,6135
82690,7.1,4570
5255,6.4,1474
47933,4.9,2491
10191,7.5,4227
296,5.9,2143
118340,7.9,9742
157336,8.1,10867
27205,8.1,13752
315011,6.5,143
49051,7,8297
9799,6.6,3428
4922,7.3,3292
49538,7.1,5181
131634,6.6,3984
27022,5.8,1470
503,5.5,583
241259,6.5,1725
810,6,2278
68735,6.3,2268
87101,5.8,3631
10140,6.2,1514
676,6.6,1791
1858,6.6,4040
1966,5.6,927
675,7.4,5494
674,7.5,5608
8960,6.2,2961
6479,6.9,4853
118,6.7,3624
2062,7.5,4369
272,7.5,7359
10527,6.2,1810
18360,5.9,1971
2080,6.2,4021
605,6.4,3096
109445,7.3,5295
604,6.7,3443
76338,6.8,4755
76341,7.2,9427
13448,6.5,2129
10195,6.6,6525
13053,6.3,1750
19585,5.1,510
57165,5.5,1431
62213,5.7,2320
177677,7.1,3224
7978,5.5,549
5559,5.7,1171
49444,6.7,1880
10196,4.7,1151
956,6.5,2028
117251,6.4,1891
50321,5.5,199
11619,6,874
266647,5.9,954
82703,6.7,843
652,6.9,2759
80321,6.4,1808
36669,5.8,1092
43074,5.3,2142
95,6.4,2482
608,6,3114
2310,5.5,841
140300,6.7,1603
56292,6.8,3972
81188,7.1,1922
7552,5.9,627
616,7.3,1895
147441,5.6,1921
13475,7.4,4518
557,6.8,5265
82702,7.6,3106
205584,5.3,1277
10048,4.9,331
13183,7,2811
944,6.3,767
1927,5.3,1533
72559,5.4,3025
7364,5.7,434
2114,5.9,433
1771,6.6,7047
36643,6,862
8619,6.9,790
50620,6.1,2553
65759,5.8,373
1724,6.1,3021
267935,6,1000
281957,7.3,6396
77950,6.1,1074
44896,6.6,2051
270946,6.5,1346
2503,7.3,2888
9502,6.9,3145
102899,7,5880
101299,7.4,6495
228161,6.8,1519
74,6.2,2322
8961,6.3,1564
417859,6.4,451
27576,6.2,2093
86834,5.6,2350
17578,6.7,2061
673,7.7,5877
6972,6.3,694
82700,5,2532
10567,6.2,542
181533,6.1,1851
38055,6.7,1918
671,7.5,7006
49524,5.4,1260
22,7.5,6985
131631,6.6,5584
591,6.5,2704
172385,6.3,978
36658,6.8,3506
51497,7.1,2438
