mcid,movie_id,company_id,ctype,note
1,19995,289,production,
2,19995,306,production,
3,19995,444,production,
4,19995,574,production,
5,285,2,production,
6,285,130,production,
7,285,19936,production,
8,206647,5,production,
9,206647,10761,production,
10,206647,69434,production,
11,49026,923,production,
12,49026,6194,production,
13,49026,9993,production,
14,49026,9996,production,
15,49529,2,production,
16,559,5,production,
17,559,326,production,
18,559,19551,production,
19,38757,2,production,
20,38757,6125,production,
21,99861,420,production,
22,99861,15357,production,
23,99861,76043,production,
24,767,6194,production,
25,767,7364,production,
26,209112,429,production,
27,209112,507,production,
28,209112,6194,production,
29,209112,9993,production,
30,209112,9995,production,
31,209112,41624,production,
32,1452,429,production,
33,1452,923,production,
34,1452,6194,production,
35,1452,9168,production,
36,10764,7576,production,
37,58,2,production,
38,58,130,production,
39,58,19936,production,
40,57201,2,production,
41,57201,130,production,
42,57201,2691,production,
43,57201,37380,production,
44,57201,37381,production,
45,57201,37382,production,
46,49521,923,production,
47,49521,6194,production,
48,49521,9993,production,
49,49521,9996,production,
50,49521,78685,production,
51,2454,5888,production,
52,2454,10221,production,
53,2454,11345,production,
54,2454,11440,production,
55,2454,11441,production,
56,2454,11442,production,
57,2454,76043,production,
58,24428,4,production,
59,24428,420,production,
60,1865,2,production,
61,1865,130,production,
62,1865,20478,production,
63,41154,56,production,
64,41154,5627,production,
65,41154,6736,production,
66,41154,9169,production,
67,41154,11084,production,
68,122917,11,production,
69,122917,12,production,
70,122917,174,production,
71,122917,7413,production,
72,122917,8411,production,
73,1930,5,production,
74,1930,326,production,
75,1930,7505,production,
76,20662,23,production,
77,20662,33,production,
78,20662,1645,production,
79,20662,7295,production,
80,57158,11,production,
81,57158,12,production,
82,57158,174,production,
83,57158,8411,production,
84,2268,12,production,
85,2268,289,production,
86,2268,1473,production,
87,2268,1938,production,
88,254,11,production,
89,254,33,production,
90,254,68,production,
91,254,69,production,
92,597,4,production,
93,597,306,production,
94,597,574,production,
95,271110,264,production,
96,271110,420,production,
97,271110,3036,production,
98,271110,84424,production,
99,271110,84425,production,
100,44833,33,production,
101,44833,2598,production,
102,44833,13778,production,
103,44833,20153,production,
104,135397,13,production,
105,135397,56,production,
106,135397,923,production,
107,135397,3341,production,
108,135397,6452,production,
109,37724,5,production,
110,558,5,production,
111,558,326,production,
112,558,19551,production,
113,68721,420,production,
114,12155,2,production,
115,12155,598,production,
116,12155,8601,production,
117,12155,16314,production,
118,12155,20004,production,
119,36668,289,production,
120,36668,306,production,
121,36668,431,production,
122,36668,444,production,
123,36668,445,production,
124,36668,9168,production,
125,36668,12247,production,
126,36668,19551,production,
127,36668,79028,production,
128,36668,79029,production,
129,36668,79030,production,
130,62211,2,production,
131,62211,3,production,
132,8373,4,production,
133,8373,27,production,
134,8373,56,production,
135,8373,435,production,
136,8373,2481,production,
137,8373,22826,production,
138,8373,76043,production,
139,91314,4,production,
140,91314,56,production,
141,91314,435,production,
142,91314,2481,production,
143,91314,11413,production,
144,91314,22826,production,
145,91314,38833,production,
146,91314,76043,production,
147,68728,2,production,
148,68728,16314,production,
149,102382,5,production,
150,102382,19551,production,
151,102382,31828,production,
152,102382,53462,production,
153,20526,2,production,
154,20526,7161,production,
155,20526,18713,production,
156,20526,23791,production,
157,20526,76043,production,
158,20526,76067,production,
159,49013,2,production,
160,49013,3,production,
161,44912,2609,production,
162,44912,6194,production,
163,44912,9993,production,
164,10193,2,production,
165,10193,3,production,
166,534,5,production,
167,534,4021,production,
168,534,4022,production,
169,534,6194,production,
170,168259,33,production,
171,168259,333,production,
172,168259,3341,production,
173,168259,6452,production,
174,168259,7154,production,
175,168259,40890,production,
176,168259,86352,production,
177,168259,86655,production,
178,168259,87857,production,
179,168259,87858,production,
180,72190,4,production,
181,72190,3281,production,
182,72190,6277,production,
183,72190,9169,production,
184,72190,11956,production,
185,72190,19108,production,
186,72190,23644,production,
187,127585,306,production,
188,127585,431,production,
189,127585,7505,production,
190,127585,9168,production,
191,127585,22213,production,
192,127585,37336,production,
193,127585,76043,production,
194,54138,4,production,
195,54138,6277,production,
196,54138,11461,production,
197,54138,12536,production,
198,81005,12,production,
199,81005,333,production,
200,81005,923,production,
201,81005,6194,production,
202,81005,8406,production,
203,81005,9168,production,
204,64682,79,production,
205,64682,240,production,
206,64682,6194,production,
207,64682,11858,production,
208,64682,14440,production,
209,64682,14604,production,
210,9543,2,production,
211,9543,130,production,
212,68726,923,production,
213,68726,6194,production,
214,68726,19750,production,
215,68726,19751,production,
216,38356,4,production,
217,38356,435,production,
218,38356,19751,production,
219,38356,22826,production,
220,217,1,production,
221,217,4,production,
222,105864,2,production,
223,105864,3,production,
224,62177,2,production,
225,62177,3,production,
226,188927,4,production,
227,188927,11461,production,
228,188927,34530,production,
229,188927,69484,production,
230,188927,82819,production,
231,188927,83644,production,
232,188927,83645,production,
