company_id,name,country,imdb_id,name_nf,name_sf,md5
289,Ingenious Film Partners,,289,INGENIOUS FILM PARTNERS,I525,020cc3adff39a5d7b3621d753a801da5
306,Twentieth Century Fox Film Corporation,,306,TWENTIETH CENTURY FOX FILM CORPORATION,T533,0f987a93bd5676d20db53e9a538b1722
444,Dune Entertainment,,444,DUNE ENTERTAINMENT,D553,8accae460a05980e6c89b4677b1d6da9
574,Lightstorm Entertainment,,574,LIGHTSTORM ENTERTAINMENT,L232,ce205400c655c17a688816512fe3ef91
2,Walt Disney Pictures,,2,WALT DISNEY PICTURES,W432,5ecb55716a8ba8dbb65cf7623a29c99b
130,Jerry Bruckheimer Films,,130,JERRY BRUCKHEIMER FILMS,J616,7c6525ec0418ecb3435d5a2a7d2ef4ca
19936,Second Mate Productions,,19936,SECOND MATE PRODUCTIONS,S253,ae5f6703955cc63cb59bf5f003e501bc
5,Columbia Pictures,,5,COLUMBIA PICTURES,C451,81d86e58b5f6fe8b30878fec5ac3f44a
10761,Danjaq,,10761,DANJAQ,D522,0f0858634dcc0bea5e3b506fd9220394
69434,B24,,69434,B24,B000,be75e0fdf21055cb16ee5dfaed9fc0ac
923,Legendary Pictures,,923,LEGENDARY PICTURES,L253,97c63183ea667626227b72fc73f86121
6194,Warner Bros.,,6194,WARNER BROS.,W656,bbbb353f97614e3064ec16b55d3897ca
9993,DC Entertainment,,9993,DC ENTERTAINMENT,D253,eac540c26a4c0bbff45ec4c12b975e15
9996,Syncopy,,9996,SYNCOPY,S521,f97ddd567d9e19c214ebb5cda2d4ee19
326,Laura Ziskin Productions,,326,LAURA ZISKIN PRODUCTIONS,L622,e5e34553de85da9579305244ecde0ebf
19551,Marvel Enterprises,,19551,MARVEL ENTERPRISES,M614,e55d9de89aa118862725a4bce99d7075
6125,Walt Disney Animation Studios,,6125,WALT DISNEY ANIMATION STUDIOS,W432,2d9710952b6bbd7fa5ee9dff6d2aaca7
420,Marvel Studios,,420,MARVEL STUDIOS,M614,0dd5810895026e81e2de7a6e45a502ab
15357,Prime Focus,,15357,PRIME FOCUS,P651,74003444a1670bb291948590dd1723b0
76043,Revolution Sun Studios,,76043,REVOLUTION SUN STUDIOS,R143,86626d6fcf3c9eb047d75e5e7928aed9
7364,Heyday Films,,7364,HEYDAY FILMS,H314,a76244c6349d8bcc2aa036d2e78a39f8
429,DC Comics,,429,DC COMICS,D252,e3d9377b36729e7ce22b678a36fc97d3
507,Atlas Entertainment,,507,ATLAS ENTERTAINMENT,A342,c2f1159376de28ba870fbeaa4b71e6b0
9995,Cruel & Unusual Films,,9995,CRUEL & UNUSUAL FILMS,C645,309bfea786a7b239bbbbd928425e2301
41624,RatPac-Dune Entertainment,,41624,RATPAC-DUNE ENTERTAINMENT,R312,3578e9354f2c5762c4bc88e386b72555
9168,Bad Hat Harry Productions,,9168,BAD HAT HARRY PRODUCTIONS,B336,4397aee5be80c62bc3e44e20a014ec1a
7576,Eon Productions,,7576,EON PRODUCTIONS,E516,acd1f9ec9f8ffe90ff65c0e817424ff0
2691,Infinitum Nihil,,2691,INFINITUM NIHIL,I515,75e7c6a37e38a47999774f79641ed0bb
37380,Silver Bullet Productions (II),,37380,SILVER BULLET PRODUCTIONS (II),S416,da0a07a50754f9379b513d9acd326480
37381,Blind Wink Productions,,37381,BLIND WINK PRODUCTIONS,B453,dd1f0226e2e9bb4c54f5bbd229eda934
37382,Classic Media,,37382,CLASSIC MEDIA,C422,331f202c15aaed05cedce11ca9d228ea
78685,Cruel and Unusual Films,,78685,CRUEL AND UNUSUAL FILMS,C645,1c1efe2fcc57b9ddbd08fcbc2733009a
5888,Walt Disney,,5888,WALT DISNEY,W432,c800ced9b319f2ac4a23dc8d152adbd6
10221,Walden Media,,10221,WALDEN MEDIA,W435,d0f0b40b1dc0e27a9fcb6fbe087bce42
11345,Stillking Films,,11345,STILLKING FILMS,S342,926e6f6d4e897e152f1c007a2371ca76
11440,Ozumi Films,,11440,OZUMI FILMS,O251,b2d96064306b1b68605308743f52c572
11441,Propeler,,11441,PROPELER,P614,f8837acc3da5cb2883dc36920d5e738c
11442,Silverbell Films,,11442,SILVERBELL FILMS,S416,f6728c02702afdcbcc374bb3b31e7836
4,Paramount Pictures,,4,PARAMOUNT PICTURES,P655,a75f10836023198f24e0537ac859e1e1
20478,Moving Picture Company (MPC),,20478,MOVING PICTURE COMPANY (MPC),M152,ee7f95b26e2ddeb1bd32ebef99b32bc3
56,Amblin Entertainment,,56,AMBLIN ENTERTAINMENT,A514,6361e181c288e8691584aedd3dbe04df
5627,Media Magik Entertainment,,5627,MEDIA MAGIK ENTERTAINMENT,M352,4639f2da1f64b1177ac2907c3e3f58de
6736,Imagenation Abu Dhabi FZ,,6736,IMAGENATION ABU DHABI FZ,I525,35cb20628efc9e8cf8bb9fcc4107a454
9169,Hemisphere Media Capital,,9169,HEMISPHERE MEDIA CAPITAL,H521,f5ca4081a995eee4d6f8ff3f22c92414
11084,Parkes/MacDonald Productions,,11084,PARKES/MACDONALD PRODUCTIONS,P622,aa3bf860234c3a0656c91b985169d040
11,WingNut Films,,11,WINGNUT FILMS,W525,ffa5228e7d6d860b50677513b00aad59
12,New Line Cinema,,12,NEW LINE CINEMA,N452,fe2e38011caafa871c314bffb7cb306c
174,Warner Bros. Pictures,,174,WARNER BROS. PICTURES,W656,8db02f51a00603ce4534699f75177292
7413,3Foot7,,7413,3FOOT7,F300,40c4c72b301356dc8ef89f302a1e6fdf
8411,Metro-Goldwyn-Mayer (MGM),,8411,METRO-GOLDWYN-MAYER (MGM),M362,f09afc3940f0e87d0509f93e2464cc90
7505,Marvel Entertainment,,7505,MARVEL ENTERTAINMENT,M614,eebc5305bdf71c717e50d8ae40753699
23,Imagine Entertainment,,23,IMAGINE ENTERTAINMENT,I525,50a04ac4c07bca9dfb4e268b7ddeccee
33,Universal Pictures,,33,UNIVERSAL PICTURES,U516,f1be02455f6c12407813398dea854318
1645,Scott Free Productions,,1645,SCOTT FREE PRODUCTIONS,S316,e3842729c4218672253b5a07ef3b7d10
7295,Relativity Media,,7295,RELATIVITY MEDIA,R431,b3a846549460766001e2dca441643af1
1473,Depth of Field,,1473,DEPTH OF FIELD,D131,84af023f47a4c3214e0575ce1658b98b
1938,Scholastic Productions,,1938,SCHOLASTIC PRODUCTIONS,S423,2b121e7edea09c313dc3fbcc1f74dcaa
68,Big Primate Pictures,,68,BIG PRIMATE PICTURES,B216,c1e241cc9795833e89b9d8f0cc8ac904
69,MFPV Film,,69,MFPV FILM,M145,0f5369454e656b6e1703750d8839665c
264,Studio Babelsberg,,264,STUDIO BABELSBERG,S331,eeee857e9df06f7ea4ed948be10f8351
3036,Walt Disney Studios Motion Pictures,,3036,WALT DISNEY STUDIOS MOTION PICTURES,W432,b9edbc9c0f56b5ce228cb7f50fe2f6de
84424,Vita-Ray Dutch Productions (III),,84424,VITA-RAY DUTCH PRODUCTIONS (III),V363,8652e4a5a3a77894bf5739d404207ff1
84425,Deluxe Digital Studios,,84425,DELUXE DIGITAL STUDIOS,D423,567b439ffc146ea9e6ba4abb03b66b67
2598,Hasbro,,2598,HASBRO,H216,6d311e5d6d64c6a3706fc2158857d7e8
13778,Bluegrass Films,,13778,BLUEGRASS FILMS,B426,aa1b572f675410960dfbaf373b19cfc7
20153,Film 44,,20153,FILM 44,F450,545696870fd08816a8c14caaa56c7070
13,Universal Studios,,13,UNIVERSAL STUDIOS,U516,5db5d43558e7d3db556512efdd2968fa
3341,Fuji Television Network,,3341,FUJI TELEVISION NETWORK,F234,e57fe66e2f12483426d73671cc1d0b8d
6452,Dentsu,,6452,DENTSU,D532,5aaa20c7018c714774d4a370a2781ad0
