movie_id,title,imdb_idx,movie_kind,release,imdb_id,phonetic,episode_id,season,episode,series_years,md5
19995,Avatar,tt0019995,movie,12/10/2009,19995,A136,,,,,32036005d1f6ed59803ba3e13c80993e
285,Pirates of the Caribbean: At World's End,tt0000285,movie,5/19/2007,285,P632,,,,,838a69d95481cab62a53cc7b8eab5a1e
206647,Spectre,tt0206647,movie,10/26/2015,206647,S123,,,,,74b462906ecc660a17c907b75c5526e5
49026,The Dark Knight Rises,tt0049026,movie,7/16/2012,49026,T362,,,,,d834918560dcb725aa4f12211115d24a
49529,John Carter,tt0049529,movie,3/7/2012,49529,J526,,,,,0d6bd998e7d8bcbf4b8c47e5c3690871
559,Spider-Man 3,tt0000559,movie,5/1/2007,559,S136,,,,,91882259101c2b9e86d9415f64d61e17
38757,Tangled,tt0038757,movie,11/24/2010,38757,T524,,,,,ee3c7edfd50e953d3ccc242c31a74108
99861,Avengers: Age of Ultron,tt0099861,movie,4/22/2015,99861,A152,,,,,6f8a5b8bf52f0d0848221129d25cd714
767,Harry Potter and the Half-Blood Prince,tt0000767,movie,7/7/2009,767,H613,,,,,806a1d39a8bcf80c4d54daa4ebaa02ef
209112,Batman v Superman: Dawn of Justice,tt0209112,movie,3/23/2016,209112,B355,,,,,505a9192e1522d5be30f501e2a1c7181
1452,Superman Returns,tt0001452,movie,6/28/2006,1452,S165,,,,,7895592a1a9a105c0f8b2a60b98b15e0
10764,Quantum of Solace,tt0010764,movie,10/30/2008,10764,Q535,,,,,988ad55966dd1f5d6f039b7117786d12
58,Pirates of the Caribbean: Dead Man's Chest,tt0000058,movie,6/20/2006,58,P632,,,,,09b7510ba714ab9171ac1117db87c301
57201,The Lone Ranger,tt0057201,movie,7/3/2013,57201,T456,,,,,04f5bd3a91d1a3df7d58e3949e649ca2
49521,Man of Steel,tt0049521,movie,6/12/2013,49521,M512,,,,,307851408534bcff962036c903198f95
2454,The Chronicles of Narnia: Prince Caspian,tt0002454,movie,5/15/2008,2454,T265,,,,,33d54e78974d479af40b9b6f3c475e02
24428,The Avengers,tt0024428,movie,4/25/2012,24428,T152,,,,,32cf3c51c6d90d60d58af9b265669e30
1865,Pirates of the Caribbean: On Stranger Tides,tt0001865,movie,5/14/2011,1865,P632,,,,,ca0ce59818f97d3a5bc273c89c6a5c9f
41154,Men in Black 3,tt0041154,movie,5/23/2012,41154,M551,,,,,c721173a9b0a0f53c276df8dfdf16f8a
122917,The Hobbit: The Battle of the Five Armies,tt0122917,movie,12/10/2014,122917,T131,,,,,920120d5acaf0cf8f1ad1908c18d9446
1930,The Amazing Spider-Man,tt0001930,movie,6/27/2012,1930,T525,,,,,b0060ff5bfccf42472d083094afd3990
20662,Robin Hood,tt0020662,movie,5/12/2010,20662,R153,,,,,57a0c808b146307f45efe32333c8747b
57158,The Hobbit: The Desolation of Smaug,tt0057158,movie,12/11/2013,57158,T133,,,,,b8f3f7ab5bb076a53309fccf076cf1bf
2268,The Golden Compass,tt0002268,movie,12/4/2007,2268,T243,,,,,6d71ae37b1739afbc4c2c0b6f3947dc2
254,King Kong,tt0000254,movie,12/14/2005,254,K525,,,,,007e4dfd32c5703c7dfee018b597638f
597,Titanic,tt0000597,movie,11/18/1997,597,T352,,,,,c54e6f7dd4dacc1ac5b0fa66565a4a60
271110,Captain America: Civil War,tt0271110,movie,4/27/2016,271110,C135,,,,,b61b2f4146d8a89988e1fcd45138fb0d
44833,Battleship,tt0044833,movie,4/11/2012,44833,B342,,,,,b846373e48cf002363110ff72973f24b
135397,Jurassic World,tt0135397,movie,6/9/2015,135397,J622,,,,,a95c12eda9602b61b0beb6f1018d6d4e
37724,Skyfall,tt0037724,movie,10/25/2012,37724,S140,,,,,b27f01c7644d1b87d880edcf807d2acf
558,Spider-Man 2,tt0000558,movie,6/25/2004,558,S136,,,,,31b5bb0fe1a1bfb12dd390ee5dd06790
68721,Iron Man 3,tt0068721,movie,4/18/2013,68721,I655,,,,,5e257f79ddc124a5a4eebf46f649db59
12155,Alice in Wonderland,tt0012155,movie,3/3/2010,12155,A425,,,,,50e9fcc3911994a2f84eaf8c12c49b5b
36668,X-Men: The Last Stand,tt0036668,movie,5/24/2006,36668,X553,,,,,345c416f7585a9ee226ee5a6eb791c1b
62211,Monsters University,tt0062211,movie,6/20/2013,62211,M523,,,,,ae5876824662dc3c02782faa2c1d097b
8373,Transformers: Revenge of the Fallen,tt0008373,movie,6/19/2009,8373,T652,,,,,d2410caa775bfa8cfec8b2996f2fdc1a
91314,Transformers: Age of Extinction,tt0091314,movie,6/25/2014,91314,T652,,,,,2901176de2318f94565f0be94a216557
68728,Oz: The Great and Powerful,tt0068728,movie,3/7/2013,68728,O232,,,,,7fbf13d5af89e3a8a3590f0392a3fade
102382,The Amazing Spider-Man 2,tt0102382,movie,4/16/2014,102382,T525,,,,,22e18e3d95c11b45c3f289ced7d909ae
20526,TRON: Legacy,tt0020526,movie,12/10/2010,20526,T654,,,,,2890d1c82bcfb44c8413e8f2e54f6630
49013,Cars 2,tt0049013,movie,6/11/2011,49013,C620,,,,,775569e021775986065f8a5db0fc05a8
44912,Green Lantern,tt0044912,movie,6/16/2011,44912,G654,,,,,5503cccef1728c81bf72635f82c67568
10193,Toy Story 3,tt0010193,movie,6/16/2010,10193,T236,,,,,7f24e818c299e287bdbf7caaf72c06b3
534,Terminator Salvation,tt0000534,movie,5/20/2009,534,T655,,,,,fe54a833c14537601bb3ea56d9384d5f
168259,Furious 7,tt0168259,movie,4/1/2015,168259,F620,,,,,63445d5b5b7fcd8334a0e69b75286b3f
72190,World War Z,tt0072190,movie,6/20/2013,72190,W643,,,,,3ae187ae7dbabeeb6cde6dddb2b0c7ef
127585,X-Men: Days of Future Past,tt0127585,movie,5/15/2014,127585,X553,,,,,43838b6e53bd5d6badfee4b4946dcbb1
54138,Star Trek Into Darkness,tt0054138,movie,5/5/2013,54138,S363,,,,,0e4f8ae134d6e7620709f9da49b289fb
81005,Jack the Giant Slayer,tt0081005,movie,2/27/2013,81005,J232,,,,,4afc9e07c6655cd17dc31840a14a6735
64682,The Great Gatsby,tt0064682,movie,5/10/2013,64682,T263,,,,,cee9cf2d30c165db805e581a6f58c9aa
9543,Prince of Persia: The Sands of Time,tt0009543,movie,5/19/2010,9543,P652,,,,,f4fddddf19b803c7c7b5d218f1ca2474
68726,Pacific Rim,tt0068726,movie,7/11/2013,68726,P212,,,,,a923a39bee8d4d26fbc2a78146a1fcab
38356,Transformers: Dark of the Moon,tt0038356,movie,6/28/2011,38356,T652,,,,,68b3559aaebf1ea5ea86cadab76de55f
217,Indiana Jones and the Kingdom of the Crystal Skull,tt0000217,movie,5/21/2008,217,I535,,,,,9ba6ced4b0ca1a35d1f18a4bf608f605
105864,The Good Dinosaur,tt0105864,movie,11/14/2015,105864,T235,,,,,170ac4b2299f0b88e53a0bfb357bd021
62177,Brave,tt0062177,movie,6/21/2012,62177,B610,,,,,8d091597127cc044520e13fae3a3af59
188927,Star Trek Beyond,tt0188927,movie,7/7/2016,188927,S363,,,,,fafd5bdeab0791c8e57dda409cbb4dc2
10681,WALL·E,tt0010681,movie,6/22/2008,10681,W400,,,,,2491bee426142ccfeefc117cb239a012
5174,Rush Hour 3,tt0005174,movie,8/8/2007,5174,R260,,,,,c8b6ae8ab7fe54af0d004163221ae4d8
14161,2012,tt0014161,movie,10/10/2009,14161,,,,,,253614bbac999b38b5b60cae531c4969
17979,A Christmas Carol,tt0017979,movie,11/4/2009,17979,A262,,,,,cee6def7f230cfa39fedbd94ddd29b93
76757,Jupiter Ascending,tt0076757,movie,2/4/2015,76757,J136,,,,,eb44909285872eba83382b2691281159
258489,The Legend of Tarzan,tt0258489,movie,6/29/2016,258489,T425,,,,,4929f086826518720140d5327c9db320
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",tt0000411,movie,12/7/2005,411,T265,,,,,4d01a9afab5a3075a2f32ad8e7b1c203
246655,X-Men: Apocalypse,tt0246655,movie,5/18/2016,246655,X551,,,,,068a0314225790984f9f3b2a7d53d8c5
155,The Dark Knight,tt0000155,movie,7/16/2008,155,T362,,,,,175b13d8ce8d83053c15f2687c916d78
14160,Up,tt0014160,movie,5/13/2009,14160,U100,,,,,258f49887ef8d14ac268c92b02503aaa
15512,Monsters vs Aliens,tt0015512,movie,3/19/2009,15512,M523,,,,,c38c08cca53d4466a6b629c72098f607
1726,Iron Man,tt0001726,movie,4/30/2008,1726,I655,,,,,6fed1645bebbf49f15671903a8a2e6da
44826,Hugo,tt0044826,movie,11/22/2011,44826,H200,,,,,1b3840b0b70d91c17e70014c8537dbba
8487,Wild Wild West,tt0008487,movie,6/29/1999,8487,W434,,,,,8ce7301326482d264cc65efb3d06fefb
1735,The Mummy: Tomb of the Dragon Emperor,tt0001735,movie,7/1/2008,1735,T553,,,,,01359be1b5f945eb4af9390dff37e583
297761,Suicide Squad,tt0297761,movie,8/2/2016,297761,S232,,,,,68a0ed984e39c8d1262483a4d813a6b5
2698,Evan Almighty,tt0002698,movie,6/9/2007,2698,E154,,,,,82203087fabbf2b793a91041e526e89e
137113,Edge of Tomorrow,tt0137113,movie,5/27/2014,137113,E321,,,,,10887de37167f9765dd50031b90443b3
9804,Waterworld,tt0009804,movie,7/28/1995,9804,W366,,,,,0978e9b4c5721ddfe0798335cec31d9e
14869,G.I. Joe: The Rise of Cobra,tt0014869,movie,8/4/2009,14869,G236,,,,,3e75f74ce741aea12e0fc4c6dca97365
150540,Inside Out,tt0150540,movie,6/9/2015,150540,I523,,,,,2d75c4ffb4e0c1a21af7e4a5e2f735e2
278927,The Jungle Book,tt0278927,movie,4/7/2016,278927,T252,,,,,20ec4fc42d44c4797f9f416778ebbf57
10138,Iron Man 2,tt0010138,movie,4/28/2010,10138,I655,,,,,540173e3c2f4199b6aeff209c2b72682
58595,Snow White and the Huntsman,tt0058595,movie,5/30/2012,58595,S535,,,,,9e75e0dad891639d4607bf0fedd3572a
102651,Maleficent,tt0102651,movie,5/28/2014,102651,M412,,,,,fbf8b1f98a985b03fc182cb2008b5311
119450,Dawn of the Planet of the Apes,tt0119450,movie,6/26/2014,119450,D513,,,,,2f9e4902d336414020a3aead0a2c24af
79698,The Lovers,tt0079698,movie,2/13/2015,79698,T416,,,,,08c5168d98f6f8046d7c4a71f351b173
64686,47 Ronin,tt0064686,movie,12/6/2013,64686,R550,,,,,2a1348c2e31a4b499bb062f492c73b59
100402,Captain America: The Winter Soldier,tt0100402,movie,3/20/2014,100402,C135,,,,,6b24318941245999593b2d49de6fb6af
10192,Shrek Forever After,tt0010192,movie,5/16/2010,10192,S621,,,,,a963f98b246da878b006e85310c003be
158852,Tomorrowland,tt0158852,movie,5/19/2015,158852,T564,,,,,f744954c96a9758b13c048f7371561b3
