cast_id,movie_id,role_id
65731,19995,664
8691,19995,664
10205,19995,664
32747,19995,664
17647,19995,664
1771,19995,664
59231,19995,664
30485,19995,664
15853,19995,664
10964,19995,664
95697,19995,664
98215,19995,664
154153,19995,664
397312,19995,664
42317,19995,664
986734,19995,664
1207227,19995,664
1180936,19995,664
1019578,19995,664
91443,19995,664
173391,19995,664
1207236,19995,664
215913,19995,664
143206,19995,664
169676,19995,664
1048610,19995,664
42288,19995,664
68278,19995,664
1207247,19995,664
1207248,19995,664
89714,19995,664
1207249,19995,664
1207250,19995,664
83105,19995,664
1207253,19995,664
1207251,19995,664
1207252,19995,664
1207254,19995,664
1207257,19995,664
1207259,19995,664
1207262,19995,664
1158600,19995,664
983705,19995,664
1207263,19995,664
1145098,19995,664
33305,19995,664
1207264,19995,664
33311,19995,664
1207265,19995,664
1207266,19995,664
54492,19995,664
1207267,19995,664
1207268,19995,664
1207269,19995,664
1207270,19995,664
1207271,19995,664
1207272,19995,664
1207273,19995,664
1207274,19995,664
1207275,19995,664
1207276,19995,664
107969,19995,664
1207278,19995,664
147898,19995,664
1207280,19995,664
1207281,19995,664
1207282,19995,664
1207283,19995,664
98216,19995,664
1201399,19995,664
236696,19995,664
1207287,19995,664
1207288,19995,664
1207289,19995,664
584868,19995,664
1207290,19995,664
1062463,19995,664
60656,19995,664
1207291,19995,664
1186027,19995,664
1207292,19995,664
103259,19995,664
42286,19995,664
1721,19995,245
496,19995,433
900,19995,535
900,19995,597
1262,19995,138
1729,19995,402
2710,19995,233
2710,19995,661
2710,19995,245
2710,19995,425
2710,19995,478
7236,19995,80
6690,19995,648
6347,19995,138
6878,19995,591
6883,19995,386
8159,19995,540
8160,19995,280
8163,19995,280
8527,19995,194
8529,19995,425
9618,19995,80
12653,19995,509
12653,19995,591
14350,19995,511
20294,19995,260
17675,19995,194
18265,19995,235
42281,19995,511
42288,19995,586
29067,19995,360
29067,19995,298
33302,19995,132
33303,19995,80
113145,19995,651
58188,19995,647
58871,19995,245
92359,19995,511
72201,19995,235
89714,19995,586
93214,19995,651
122607,19995,216
132585,19995,80
132596,19995,80
132604,19995,80
236696,19995,380
956198,19995,583
957874,19995,651
957889,19995,591
959555,19995,591
1016177,19995,138
1032536,19995,433
1071680,19995,194
1177364,19995,566
1202850,19995,361
1204668,19995,648
1206410,19995,651
1234266,19995,421
1271932,19995,651
1310064,19995,360
1319844,19995,198
1327028,19995,651
1330561,19995,80
1330567,19995,198
1330570,19995,198
1330574,19995,198
1336191,19995,511
1339441,19995,511
1352422,19995,218
1352962,19995,511
1357070,19995,621
1357071,19995,621
1360103,19995,597
1376887,19995,511
1376888,19995,511
1376889,19995,511
1376890,19995,511
1376891,19995,511
1376892,19995,76
1376893,19995,511
1376895,19995,82
1376897,19995,182
1376898,19995,82
1376899,19995,218
1376901,19995,218
1376902,19995,597
1376903,19995,548
1376909,19995,155
1391692,19995,648
1391695,19995,651
1394070,19995,651
1394129,19995,540
1394286,19995,124
1394750,19995,647
1394755,19995,651
1394953,19995,225
1395269,19995,651
1398970,19995,566
1400906,19995,540
1401784,19995,445
1401785,19995,439
1401786,19995,540
1401787,19995,555
1401788,19995,555
1401789,19995,648
1401790,19995,648
1401791,19995,647
1401792,19995,647
1401793,19995,648
1401794,19995,647
1401795,19995,651
1401796,19995,651
1401799,19995,651
1401800,19995,651
1401801,19995,651
1401803,19995,651
1401804,19995,583
1401805,19995,115
1401806,19995,571
1401807,19995,344
1401808,19995,62
1401809,19995,62
1401810,19995,62
1401812,19995,507
1401814,19995,507
1401815,19995,225
1401816,19995,459
1418381,19995,124
1426854,19995,124
1438901,19995,178
1447362,19995,642
1447503,19995,378
1447524,19995,77
1452643,19995,298
1453938,19995,335
1457305,19995,360
1466035,19995,124
1483220,19995,124
1483221,19995,124
1483222,19995,124
1483223,19995,124
1483224,19995,124
1483225,19995,124
1483226,19995,124
1483227,19995,124
1483228,19995,124
1483229,19995,124
1483230,19995,124
1483231,19995,124
1483232,19995,124
1483233,19995,124
1483234,19995,124
1621932,19995,586
8784,206647,664
27319,206647,664
121529,206647,664
5469,206647,664
28782,206647,664
17064,206647,664
2038,206647,664
543530,206647,664
125660,206647,664
139549,206647,664
2244,206647,664
1381616,206647,664
929937,206647,664
87265,206647,664
983710,206647,664
1385592,206647,664
1545546,206647,664
1545547,206647,664
122556,206647,664
1599239,206647,664
1599241,206647,664
230681,206647,664
30446,206647,664
48377,206647,664
578512,206647,664
1093974,206647,664
89624,206647,664
1129783,206647,664
226388,206647,664
1299312,206647,664
124628,206647,664
1562103,206647,664
1474616,206647,664
1247684,206647,664
1599245,206647,664
1599247,206647,664
1599251,206647,664
1599252,206647,664
1599253,206647,664
123548,206647,664
1599254,206647,664
1599255,206647,664
1404403,206647,664
74415,206647,664
1599256,206647,664
1599257,206647,664
1599258,206647,664
1599259,206647,664
1599260,206647,664
1477143,206647,664
1599261,206647,664
1168129,206647,664
48393,206647,664
1437333,206647,664
1599262,206647,664
14637,206647,664
1599263,206647,664
1599264,206647,664
1599265,206647,664
1599266,206647,664
1599267,206647,664
1599268,206647,664
1599269,206647,664
1599270,206647,664
1599271,206647,664
1599272,206647,664
1102369,206647,664
1372694,206647,664
1363060,206647,664
1599275,206647,664
1599276,206647,664
1599277,206647,664
229320,206647,664
1599278,206647,664
1599279,206647,664
1436816,206647,664
1599280,206647,664
5309,206647,664
1186597,206647,664
1654739,206647,664
1682535,206647,664
1682536,206647,664
1725801,206647,664
153,206647,402
39,206647,233
8384,206647,509
932,206647,478
932,206647,572
4248,206647,433
9856,206647,151
3904,206647,245
7538,206647,386
8784,206647,164
11227,206647,194
10496,206647,138
10666,206647,425
11268,206647,345
40827,206647,386
14764,206647,535
14765,206647,597
36108,206647,138
36108,206647,140
10783,206647,478
10783,206647,572
10782,206647,478
10782,206647,572
10876,206647,260
21339,206647,478
23425,206647,591
23491,206647,82
23774,206647,363
10907,206647,138
61851,206647,132
64000,206647,345
66941,206647,399
81517,206647,109
69678,206647,425
77511,206647,345
74401,206647,235
239885,206647,555
937946,206647,132
979698,206647,80
986687,206647,80
1024842,206647,647
1026247,206647,164
1029804,206647,648
1087452,206647,320
1099281,206647,298
1118711,206647,132
1296445,206647,80
1305251,206647,140
1315700,206647,360
1319160,206647,198
1335539,206647,80
1338241,206647,644
1338372,206647,280
1341741,206647,651
1341858,206647,548
1342669,206647,485
1342669,206647,109
1345595,206647,548
1358025,206647,485
1367493,206647,280
1377503,206647,132
1388897,206647,566
1389614,206647,280
1391691,206647,648
1392083,206647,535
1392246,206647,132
