role_id,cast_role
1,24 Frame Playback
2,2D Artist
3,2D Supervisor
4,3D Animator
5,3D Artist
6,3D Coordinator
7,3D Director
8,3D Editor
9,3D Generalist
10,3D Modeller
11,3D Supervisor
12,ADR & Dubbing
13,ADR Coordinator
14,ADR Editor
15,ADR Mixer
16,ADR Recordist
17,ADR Supervisor
18,ADR Voice Casting
19,Accountant
20,Action Director
21,Actor's Assistant
22,Adaptation
23,Additional Camera
24,Additional Casting
25,Additional Construction
26,Additional Dialogue
27,Additional Director of Photography
28,Additional Editing
29,Additional Editor
30,Additional Editorial Assistant
31,Additional First Assistant Camera
32,Additional Gaffer
33,Additional Grip
34,Additional Hairstylist
35,Additional Lighting Technician
36,Additional Music
37,Additional Photography
38,Additional Production Assistant
39,Additional Production Sound Mixer
40,Additional Script Supervisor
41,Additional Second Assistant Camera
42,Additional Second Assistant Director
43,Additional Set Dresser
44,Additional Sound Re-Recording Mixer
45,Additional Soundtrack
46,Additional Still Photographer
47,Additional Storyboarding
48,Additional Third Assistant Director
49,Additional Writing
50,Administration
51,Aerial Camera
52,Aerial Camera (suggest in addition to Helicopter Camera)
53,Aerial Camera Technician
54,Aerial Coordinator
55,Aerial Director of Photography
56,Ager/Dyer
57,Animal Coordinator
58,Animal Wrangler
59,Animation
60,Animation Coordinator
61,Animation Department Coordinator
62,Animation Director
63,Animation Fix Coordinator
64,Animation Manager
65,Animation Production Assistant
66,Animation Supervisor
67,Animation Technical Director
68,Animatronic and Prosthetic Effects
69,Animatronics Designer
70,Animatronics Supervisor
71,Apprentice Sound Editor
72,Archival Footage Research
73,Armorer
74,Armory Coordinator
75,Art Department Assistant
76,Art Department Coordinator
77,Art Department Manager
78,Art Department Production Assistant
79,Art Designer
80,Art Direction
81,Assistant Accountant
82,Assistant Art Director
83,Assistant Camera
84,Assistant Chief Lighting Technician
85,Assistant Costume Designer
86,Assistant Decorator
87,Assistant Director
88,Assistant Director Trainee
89,Assistant Director of Photography
90,Assistant Editor
91,Assistant Electrician
92,Assistant Gaffer
93,Assistant Grip
94,Assistant Hairstylist
95,Assistant Location Manager
96,Assistant Makeup Artist
97,Assistant Music Supervisor
98,Assistant Production Coordinator
99,Assistant Production Design
100,Assistant Production Manager
101,Assistant Property Master
102,Assistant Script
103,Assistant Set Decoration
104,Assistant Set Designer
105,Assistant Set Dresser
106,Assistant Sound Editor
107,Associate Choreographer
108,Associate Editor
109,Associate Producer
110,Author
111,BTS Footage
112,BTS Photographer
113,BTS Videographer
114,Background Designer
115,Best Boy Electric
116,Best Boy Electrician
117,Best Boy Grip
118,Best Boy Lighting Technician
119,Book
120,Boom Operator
121,CG Animator
122,CG Artist
123,CG Painter
124,CG Supervisor
125,CGI Director
126,CGI Supervisor
127,Cableman
128,Camera Car
129,Camera Department Manager
130,Camera Intern
131,Camera Loader
132,Camera Operator
133,Camera Supervisor
134,Camera Technician
135,Camera Trainee
136,Carpenter
137,Cast Driver
138,Casting
139,Casting Assistant
140,Casting Associate
141,Casting Consultant
142,Casting Coordinator
143,Casting Director
144,Casting Producer
145,Catering
146,Catering Head Chef
147,Chaperone
148,Character Designer
149,Character Modelling Supervisor
150,Character Technical Supervisor
151,Characters
152,Charge Scenic Artist
153,Chef
154,Chief Lighting Technician
155,Choreographer
156,Cinematography
157,Clapper Loader
158,Clearances Coordinator
159,Co-Art Director
160,Co-Costume Designer
161,Co-Director
162,Co-Editor
163,Co-Executive Producer
164,Co-Producer
165,Co-Writer
166,Color Assistant
167,Color Designer
168,Color Grading
169,Color Timer
170,Colorist
171,Comic Book
172,Compositing Artist
173,Compositing Lead
174,Compositing Supervisor
175,Compositor
176,Compositors
177,Concept Artist
178,Conceptual Design
179,Conceptual Illustrator
180,Conductor
181,Construction Buyer
182,Construction Coordinator
183,Construction Foreman
184,Construction Grip
185,Construction Manager
186,Consulting Editor
187,Consulting Producer
188,Contact Lens Painter
189,Contact Lens Technician
190,Continuity
191,Controller
192,Costume Assistant
193,Costume Coordinator
194,Costume Design
195,Costume Designer
196,Costume Illustrator
197,Costume Standby
198,Costume Supervisor
199,Costumer
200,Craft Service
201,Creative Consultant
202,Creative Director
203,Creative Producer
204,Creator
205,Creature Design
206,Creature Technical Director
207,Crowd Assistant Director
208,Dailies Manager
209,Dailies Operator
210,Data Management Technician
211,Data Wrangler
212,Decorator
213,Department Administrator
214,Development Manager
215,Development Producer
216,Dialect Coach
217,Dialogue
218,Dialogue Editor
219,Digital Colorist
220,Digital Compositor
221,Digital Compositors
222,Digital Effects Producer
223,Digital Effects Supervisor
224,Digital Imaging Technician
225,Digital Intermediate
226,Digital Intermediate Colorist
227,Digital Intermediate Editor
228,Digital Intermediate Producer
229,Digital Producer
230,Digital Storyboarding
231,Digital Supervisor
232,Directing Lighting Artist
233,Director
234,Director of Communications
235,Director of Photography
236,Director of Previsualization
237,Documentation & Support
238,Dolby Consultant
239,Dolly Grip
240,Draughtsman
241,Dresser
242,Driver
243,Drone Operator
244,Drone Pilot
245,Editor
246,Editorial Consultant
247,Editorial Coordinator
248,Editorial Manager
249,Editorial Production Assistant
250,Editorial Services
251,Editorial Staff
252,Effects Supervisor
253,Electrician
254,Epk Camera Operator
255,Executive Assistant
256,Executive Consultant
257,Executive In Charge Of Post Production
258,Executive In Charge Of Production
259,Executive Music Producer
260,Executive Producer
261,Executive Producer's Assistant
262,Executive Visual Effects Producer
263,Executive in Charge of Finance
264,Extras Casting
265,Extras Casting Assistant
266,Extras Casting Coordinator
267,Fight Choreographer
268,Finance
269,Finishing Producer
270,First Assistant Accountant
271,First Assistant Art Direction
272,First Assistant Camera
273,First Assistant Director
